tree,name,pid,VmRSS,VmSwap,VmSize,VmHWM,VmPeak,VmRSS+VmSwap,VmRSS_sum,VmSwap_sum,VmSize_sum,VmHWM_sum,VmPeak_sum,VmRSS+VmSwap_sum
kernel___________________________________________,kernel,0,0,0,0,0,0,0,2847961088,112205824,46228025344,3209064448,47275696128,2960166912
 |__kthreadd_____________________________________,kthreadd,2,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__ata_sff__________________________________,ata_sff,39,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__cfg80211_________________________________,cfg80211,43,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__cpuhp/0__________________________________,cpuhp/0,13,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__cpuhp/1__________________________________,cpuhp/1,14,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__cpuhp/2__________________________________,cpuhp/2,19,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__cpuhp/3__________________________________,cpuhp/3,24,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__crypto___________________________________,crypto,37,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__dns_thread_______________________________,dns_thread,2501,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__edac-poller______________________________,edac-poller,41,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__ext4-rsv-conver__________________________,ext4-rsv-conver,238,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__ext4-rsv-conver__________________________,ext4-rsv-conver,461,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__ext4-rsv-conver__________________________,ext4-rsv-conver,491,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__ext4-rsv-conver__________________________,ext4-rsv-conver,497,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__ipv6_addrconf____________________________,ipv6_addrconf,99,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__jbd2/boot3-8_____________________________,jbd2/boot3-8,237,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__jbd2/boot4-8_____________________________,jbd2/boot4-8,490,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__jbd2/boot5-8_____________________________,jbd2/boot5-8,496,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__jbd2/boot6-8_____________________________,jbd2/boot6-8,460,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__kblockd__________________________________,kblockd,38,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__kcompactd0_______________________________,kcompactd0,35,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__kdevtmpfs________________________________,kdevtmpfs,29,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__khungtaskd_______________________________,khungtaskd,32,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__krfcommd_________________________________,krfcommd,100,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__ksoftirqd/0______________________________,ksoftirqd/0,9,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__ksoftirqd/1______________________________,ksoftirqd/1,16,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__ksoftirqd/2______________________________,ksoftirqd/2,21,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__ksoftirqd/3______________________________,ksoftirqd/3,26,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__kswapd0__________________________________,kswapd0,44,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__kworker/0________________________________,kworker/0,6,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__kworker/0________________________________,kworker/0,197,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__kworker/0________________________________,kworker/0,3769544,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__kworker/0________________________________,kworker/0,3777306,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__kworker/0________________________________,kworker/0,3785413,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__kworker/1________________________________,kworker/1,18,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__kworker/1________________________________,kworker/1,201,0,0,0,0,0,0,0,0,0,0,0,0
